STEMNumAuto,PlantNum,Stem Length (cm),# of buds,# of flowers,Bloom Status,bite status by stem,Comments 7,Comments 8,Comments 9,Comments 10,Comments 11
688,4185,65,74,115,4,,,,,,
689,4186,not recorded,174,2,1,,,,,,
690,4186,not recorded,70,0,1,,,,,,
691,4186,not recorded,78,0,1,,,,,,
692,3384,55,48,150,4,,,,,,
693,3384,55,55,175,4,,,,,,
694,3384,53,55,140,3,,,,,,
695,3385,62,80,160,3,,,,,,
696,3385,60,43,100,3,,,,,,
697,3385,59,55,80,3,,,,,,
698,3386,56,10,50,4,,,,,,
699,3386,52,3,50,4,,,,,,
700,3529,,,,,,could not find any stems,,,,
701,3084,,,,accidental row,,,,,,
702,3084,,,,accidental row,,,,,,
703,3084,,,,accidental row,,,,,,
704,3618,77,184,141,4,,,,,,
705,4190,,,,3,,only bloom status in 2013,,,,
706,4190,,,,2,,only bloom status in 2013,,,,
707,4190,,,,2,,only bloom status in 2013,,,,
708,4191,51,605,15,2,yes,,,,,
709,4191,50,255,11,2,no,,,,,
710,4191,45,125,27,2,no,,,,,
711,4192,55,0,39,4,no,stepped on,This stem had been stepped on by ungulate,,,
712,4192,36,70,0,1,yes,buds were small and green,This stem had been bitten by mammal,,,
713,4192,35,0,0,0,yes,stem was stepped on and/or bitten by cattle and is dying,,,,
714,4194,40,84,63,4,no,,,,,
715,4194,39,240,0,1,yes,,,,,
716,4194,38,180,0,1,yes,,,,,
717,4195,39,75,60,7/1,yes,"one axillary shoot done blooming, the other is in bud",,,,
718,4197,45,57,0,1,no,,,,,
719,4196,32,0,0,0,no,,,,,
720,4196,29,0,0,0,no,,,,,
721,4196,29,0,0,0,no,,,,,
722,4198,46,90,0,1,no,buds were small and green,stems were probably basal resprouts following earlier herbivory,,,
723,4198,46,80,0,1,no,buds were small and green,stems were probably basal resprouts following earlier herbivory,,,
724,4198,45,10,0,1,no,buds were small and green,stems were probably basal resprouts following earlier herbivory,,,
725,4199,30,25,0,1,no,buds small and green,stems were probably basal resprouts following earlier herbivory,,,
726,4199,26,0,0,0,no,,stems were probably basal resprouts following earlier herbivory,,,
727,4199,23,0,0,0,no,,stems were probably basal resprouts following earlier herbivory,,,
728,4199,accidental row,,,,,,,,,
729,4199,accidental row,,,,,,,,,
730,4200,40,120,0,1,yes,buds VERY tiny and green,,,,
731,4200,38,60,0,1,,buds VERY tiny and green,,,,
732,4201,47,110,0,1,yes,very tiny green buds,,,,
733,4201,41,100,0,1,,very tiny green buds,,,,
734,4201,39,10,0,1,,very tiny green buds,,,,
735,4202,22,0,0,0,,very frail,,,,
736,4203,43,125,0,1,yes,very tiny green buds,,,,
737,4203,39,75,0,1,,very tiny green buds,,,,
738,4204,no data,0,40,4,yes,,,,,
739,4205,no data,15,94,4,yes,,,,,
740,4206,no data,0,0,0,unclear,plant dead,,,,
741,4207,no data,82,179,3,yes,,,,,
742,4208,37,0,0,0,,buds might have formed later in summer,,,,
743,4208,34,0,0,0,,buds might have formed later in summer,,,,
744,4208,30,0,0,0,,buds might have formed later in summer,,,,
745,4209,40,100,0,1,,buds small and green,,,,
746,4209,39,43,0,1,,buds small and green,,,,
747,4210,35,95,0,1,,,,,,
748,4210,34,130,0,1,,,,,,
749,4211,33,0,0,0,,might produce buds later this summer,,,,
750,4211,21,0,0,0,,,,,,
751,4211,21,0,0,0,,,,,,
752,4212,37,67,0,1,,buds tiny and green,,,,
753,4212,37,40,0,1,,buds tiny and green,,,,
754,4212,37,45,0,1,,buds tiny and green,,,,
755,4213,35,65,0,1,bitten,buds tiny and green,,,,
756,4213,14,0,0,0,unknown,,,,,
757,4213,14,0,0,0,unknown,,,,,
758,4214,40,85,0,1,bitten,2 axillary shoots,buds tiny and green,,,
759,4214,31,40,0,1,bitten,2 axillary shoots,buds tiny and green,,,
760,4215,70,240,1,2,no,,,,,
761,4215,55,70,0,1,no,buds tiny and green,,,,
762,4215,52,70,0,1,no,buds tiny and green,,,,
763,4216,27,15,0,1,yes,,,,,
764,4216,23,0,0,0,yes,,,,,
765,4216,17,0,0,0,yes,,,,,
766,4217,13,0,0,0,YES,"had 4 axillary shoots, but those got bitten, as did main stem",,,,
767,4218,21,45,0,1,no,buds tiny and green,,,,
768,4218,11,0,0,0,yes,,,,,
769,4218,4,0,0,0,yes,,,,,
770,4219,37,0,0,0,no,might produce buds later in summer,,,,
771,4219,17,0,0,0,no,might produce buds later in summer,,,,
772,4222,19,0,0,0,unk,,,,,
773,4222,18,0,0,0,unk,,,,,
774,4222,10,0,0,0,unk,,,,,
775,4223,9,0,0,0,no,,,,,
776,4223,5,0,0,0,no,,,,,
777,4223,5,0,0,0,no,,,,,
778,4224,28,0,0,0,unk,,,,,
779,4224,22,0,0,0,unk,,,,,
780,4225,28,60,0,1,,,,,,
781,4225,9,0,0,0,,,,,,
782,4225,9,0,0,0,,,,,,
783,4226,18,0,0,0,no,,,,,
784,4226,16,0,0,0,no,,,,,
785,4226,15,0,0,0,no,,,,,
786,4227,32,50,0,1,,,,,,
787,4227,13,25,0,1,,,,,,
788,4227,12,0,0,0,,,,,,
789,4228,20,0,0,0,,,,,,
790,4228,16,0,0,0,,,,,,
791,4229,20,0,0,0,,,,,,
792,4229,18,0,0,0,,,,,,
793,4229,18,0,0,0,,,,,,
794,4230,43,0,0,0,yes,,,,,
795,4230,37,0,0,0,yes,,,,,
796,4230,29,0,0,0,no,,,,,
798,4231,34,60,0,1,yes,buds small and green,,,,
799,4231,31,80,0,1,yes,buds small and green,,,,
800,4231,29,50,0,1,yes,buds small and green,,,,
801,4232,11,0,0,0,yes,,,,,
802,4232,10,0,0,0,yes,,,,,
803,4232,9,0,0,0,yes,,,,,
804,4233,58,0,47,7,no,,,,,
805,4233,51,0,10,7,no,,,,,
806,4234,69,0,71,7,no,,,,,
807,4234,56,0,0,0,yes,bite is 36 cm from base of stem.,"Axillary shoots are 4"" to 12"" long",,,
808,4235,48,0,6,7,no,,,,,
809,4235,46,0,27,7,no,,,,,
810,4235,38,0,0,0,no,,,,,
811,4236,42,125,0,1,,,,,,
812,4236,20,0,0,0,,,,,,
813,4237,52,149,0,1,,,,,,
814,4237,36,0,0,0,,,,,,
815,4238,42,35,0,1,,,,,,
816,4239,42,0,0,0,,,,,,
817,4240,63,70,22,2,,,,,,
818,4240,55,17,4,2,,,,,,
819,4240,53,67,8,2,,,,,,
820,4242,62,142,36,3,,,,,,
821,4242,59,50,66,4,,,,,,
822,4242,56,16,71,4,,Regal Fritillary Nectaring,,,,
823,4243,49,56,0,1,,,,,,
824,4243,9,0,0,0,,,,,,
825,4243,7,0,0,0,,,,,,
826,4245,54,10,80,4,,,,,,
827,4245,50,9,0,1,,,,,,
828,4245,48,11,0,1,,,,,,
829,4246,65,118,84,4,,,,,,
830,4246,57,212,0,1,,,,,,
831,4246,55,136,0,1,,,,,,
832,4247,45,77,0,1,,,,,,
833,4247,41,28,0,1,,,,,,
834,4247,46,0,0,0,,,,,,
835,4248,18,0,0,0,,,,,,
836,4249,54,50,0,1,,,,,,
837,4249,46,0,0,0,,,,,,
838,4250,57,158,0,1,,,,,,
839,4250,53,160,0,1,,,,,,
840,4250,51,93,0,1,,,,,,
841,4251,41,83,18,2,,,,,,
842,4251,39,68,0,1,,,,,,
843,4251,38,0,32,5,,,,,,
844,4252,51,5,78,4,,,,,,
845,4252,40,0,0,0,,,,,,
846,4253,51,12,0,1,,,,,,
847,4253,43,0,0,0,,,,,,
848,4253,26,0,0,0,,,,,,
849,4254,63,10,75,5,,,,,,
850,4254,63,27,65,5,,,,,,
851,4254,55,0,65,5,,,,,,
852,4255,46,151,46,3,,,,,,
853,4255,41,35,18,3,,,,,,
854,4256,48,0,25,7,,,,,,
855,4256,42,0,0,0,,,,,,
856,4257,53,0,0,0,no,,,,,
857,4257,24,0,0,0,yes,,,,,
858,4258,47,195,0,1,,,,,,
859,4258,42,too early,0,1,,,,,,
860,4258,37,too early,0,1,,,,,,
861,4259,57,98,28,3,,,,,,
862,4259,55,63,58,4,,,,,,
863,4260,25,0,0,0,,,,,,
864,4261,48,0,0,0,,,,,,
865,4261,45,0,0,0,,,,,,
866,4261,37,0,0,0,,,,,,
867,4262,57,0,194,5,,,,,,
868,4262,51,5,65,6,,,,,,
869,4262,51,50,7,2,,,,,,
870,4263,45,0,0,0,,,,,,
871,4270,65,119,32,2,,Visit 2 for 2014,,,,
872,4270,60,61,44,3,,Visit 2 for 2014,,,,
873,4270,50,22,0,1,,Visit 2 for 2014,,,,
874,4265,55,too early,0,1,,,,,,
875,4265,50,too early,0,1,,,,,,
876,4265,42,too early,0,1,,,,,,
877,4268,0,0,0,n.a.,,no stems found,,,,
878,4268,accidental row,,,,,accidental row,,,,
879,4268,accidental row,,,,,accidental row,,,,
880,4272,60,12,84,5,no,,,,,
881,4272,56,20,13,3,no,,,,,
882,4272,56,21,0,1,no,,,,,
883,4273,55,6,139,5,,,,,,
884,4273,55,26,72,4,,,,,,
885,4273,49,0,64,5,,,,,,
886,4274,65,353,0,1,,,,,,
887,4277,37,40,0,1,no,,,,,
888,4277,30,0,0,0,no,,,,,
889,4278,42,112,0,1,no,,,,,
890,4278,41,101,0,1,no,,,,,
891,4278,40,90,0,1,no,,,,,
892,4279,54,38,0,1,yes,,,,,
893,4279,52,0,5,7,no,,,,,
894,4280,56,13,59,4,no,,,,,
895,4280,52,0,9,4,no,,,,,
896,4282,39,71,0,1,yes,,,,,
897,4282,36,37,0,1,yes,,,,,
898,4283,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
899,4283,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
900,4284,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
901,4284,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
902,4284,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
903,4285,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
904,4285,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
905,4286,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
906,4286,Accidental row,Accidental row,Accidental row,Accidental row,,,,,,
907,4287,62,65,43,4,,,,,,
908,4287,62,35,50,?,,,,,,
909,4287,57,?,?,?,,,,,,
910,4288,48,0,0,0,,,,,,
911,4288,43,0,0,0,,,,,,
912,4289,56,42,0,1,,,,,,
913,4290,59,122,148,4,,,,,,
914,4266,54,160,0,1,,,,,,
915,4266,51,130,0,1,,,,,,
916,4266,46,85,0,1,,,,,,
917,4291,60,106,122,4,no,,,,,
918,4292,66,1,708,6,no,,,,,
919,4292,54,0,11,4,yes,,,,,
920,4292,52,5,20,4,yes,,,,,
921,4293,41,10,90,4,yes,,,,,
922,4293,39,0,21,4,yes,,,,,
923,4294,52,0,45,7,no,possibly trampled; scar on stem,,,,
924,4294,48,0,53,7,no,possibly trampled; scar on stem,,,,
925,4294,42,77,12,2,yes,,,,,
926,4295,56,0,52,7,no,possibly trampled; scar on stem,,,,
927,4295,55,0,143,7,no,possibly trampled; scar on stem,,,,
928,4295,37,0,0,0,yes,,,,,
929,4296,59,204,0,1,yes,,,,,
930,4296,49,95,0,1,yes,,,,,
931,4296,56,360,0,1,yes,,,,,
932,4297,52,148,0,1,no,,,,,
933,4297,46,156,0,1,no,,,,,
934,4297,8,0,0,0,no,,,,,
935,4298,65,59,97,5,no,,,,,
936,4298,55,44,75,5,no,,,,,
937,4298,52,74,68,4,no,,,,,
938,4299,57,0,51,6,no,,,,,
939,4299,44,0,6,1,yes,,,,,
940,4299,40,28,0,1,yes,,,,,
941,4300,54,18,105,6,no,,,,,
942,4300,41,97,1,1,yes,,,,,
943,4300,40,109,0,1,yes,,,,,
944,4301,41,151,0,1,,,,,,
945,4301,33,42,0,1,,,,,,
946,4302,25,0,0,0,,,,,,
947,4303,49,41,0,1,,,,,,
948,4303,46,63,0,1,,,,,,
949,4303,46,32,0,1,,,,,,
950,4304,42,0,24,5,,,,,,
951,4304,32,0,0,0,,,,,,
952,4304,28,0,0,0,,,,,,
953,4305,55,115,0,1,,,,,,
954,4305,48,191,0,1,,,,,,
955,4305,38,0,0,0,,,,,,
956,4306,51,112,0,1,,,,,,
957,4306,45,280,0,1,,,,,,
958,4306,40,72,0,1,,,,,,
959,4307,58,56,82,4,no,,,,,
960,4307,55,107,36,4,yes,,,,,
961,4307,55,50,0,1,yes,,,,,
962,4312,accidental row,,,,,accidental row,,,,
963,4312,accidental row,,,,,accidental row,,,,
964,4312,accidental row,,,,,accidental row,,,,
965,4313,62,38,13,4,yes,,,,,
966,4313,40,0,0,0,yes,,,,,
967,4314,,,,,,accidental row,,,,
968,4314,,,,,,accidental row,,,,
969,4314,,,,,,accidental row,,,,
970,4315,46,0,51,5,yes,,,,,
971,4315,40,0,45,7,no,,,,,
972,4315,37,0,52,5,no,,,,,
973,4316,44,0,28,7,no,,,,,
974,4316,43,0,56,6,yes,,,,,
975,4316,42,36,30,4,yes,,,,,
976,4317,53,120,0,1,no,,,,,
977,4317,50,109,0,1,no,,,,,
978,4318,41,0,0,0,yes,,,,,
979,4318,39,10,0,1,yes,,,,,
980,4318,38,5,24,5,yes,,,,,
981,4319,52,199,0,1,no,,,,,
982,4319,52,140,0,1,no,,,,,
983,4319,45,39,0,1,no,,,,,
984,4320,,,,,,accidental row,,,,
985,4320,,,,,,accidental row,,,,
986,4321,69,0,152,7,no,,,,,
987,4321,55,0,0,0,yes,,,,,
988,4321,42,0,0,0,yes,,,,,
989,4323,44,86,0,1,no,,,,,
990,4323,43,82,0,1,no,,,,,
991,4324,63,299,147,3,,,,,,
992,4324,61,103,25,3,,,,,,
993,4324,52,131,105,3,,,,,,
994,4325,41,50,0,1,,,,,,
995,4325,39,100,0,1,,,,,,
996,4326,48,0,11,8(1),,,,,,
997,4326,44,0,0,0,,,,,,
998,4326,37,0,0,0,,,,,,
999,4327,41,39,0,1,,,,,,
1000,4328,50,1,154,5,,,,,,
1001,4328,43,0,19,5,,,,,,
1002,4328,41,0,0,0,,,,,,
1003,4329,52,48,83,5,,,,,,
1004,4329,48,0,24,6,,,,,,
1005,4329,41,0,0,0,,,,,,
1006,4330,52,61,173,5,,,,,,
1007,4330,52,2,98,5,,,,,,
1008,4330,46,91,73,4,,,,,,
1009,4331,41,0,0,0,,,,,,
1010,4331,34,0,0,0,,,,,,
1011,4331,32,0,0,0,,,,,,
1012,4332,45,85,0,1,,,,,,
1013,4332,45,85,0,1,,,,,,
1014,4333,34,50,0,1,,,,,,
1015,4333,25,20,0,1,,,,,,
1016,4334,45,60,0,1,,,,,,
1017,4339,26,0,0,0,,,,,,
1018,4341,24,0,0,0,,,,,,
1019,4343,42,109,0,1,,,,,,
1020,4343,21,0,0,0,,,,,,
1021,4344,49,18,41,5,,,,,,
1022,4344,43,78,0,1,,,,,,
1023,4344,31,30,0,1,,,,,,
1024,4345,45,58,0,1,,,,,,
1025,4345,8,0,0,0,,,,,,
1026,4346,48,0,20,4,,,,,,
1027,4346,42,15,44,4,,,,,,
1028,4348,50,0,0,0,,,,,,
1029,4348,45,0,0,0,,,,,,
1030,4348,45,3,26,4,,,,,,
1031,4349,37,0,0,0,,,,,,
1032,4349,30,0,0,0,,,,,,
1033,4350,21,0,0,0,,,,,,
1034,4351,38,0,0,0,,,,,,
1035,4351,33,0,0,0,,,,,,
1036,4351,23,0,0,0,,,,,,
1037,4352,50,18,0,1,,,,,,
1038,4352,44,0,52,5,,,,,,
1039,4352,42,34,1,2,,,,,,
1040,4353,55,106,0,1,,,,,,
1041,4353,53,0,0,0,,,,,,
1042,4353,50,53,92,4,,,,,,
1043,4354,29,0,0,0,,,,,,
1044,4355,47,0,0,0,,,,,,
1045,4356,39,0,0,0,,,,,,
1046,4357,28,0,0,0,,,,,,
1047,4357,18,0,0,0,,,,,,
1048,4358,55,43,44,4,,,,,,
1049,4358,45,72,0,1,,,,,,
1050,4358,38,0,0,0,,,,,,
1051,4359,72,24,20,3,,,,,,
1052,4360,58,47,0,1,,,,,,
1053,4361,53,0,0,0,,,,,,
1054,4362,54,0,0,0,,,,,,
1055,4363,61,0,0,0,,,,,,
1056,4364,56,43,0,1,,,,,,
1057,4364,53,0,0,0,,,,,,
1058,4364,53,26,0,1,,,,,,
1059,4365,53,10,49,5,,,,,,
1060,4365,50,37,27,4,,,,,,
1061,4365,42,0,0,0,,,,,,
1062,4366,50,0,0,0,,,,,,
1063,4366,47,0,0,0,,,,,,
1064,4366,45,0,0,0,,,,,,
1065,4367,44,38,0,1,,,,,,
1066,4367,40,19,0,1,,,,,,
1067,4368,72,0,0,0,,,,,,
1068,4368,69,0,0,0,,,,,,
1069,4369,27,0,0,0,,,,,,
1070,4369,25,0,0,0,,,,,,
1071,4370,55,194,1,2,,,,,,
1072,4370,25,33,0,1,,,,,,
1073,4371,48,54,15,2,,,,,,
1074,4371,43,45,3,2,,,,,,
1075,4371,43,109,0,1,,,,,,
1076,4372,52,10,29,4,,,,,,
1077,4372,45,0,0,0,,,,,,
1078,4372,41,0,0,0,,,,,,
1079,4373,40,0,0,0,,,,,,
1080,4373,30,0,0,0,,,,,,
1081,4375,40,0,0,0,,,,,,
1082,4376,63,0,195,8(13),,,,,,
1083,4376,63,0,78,8(4),,,,,,
1084,4376,48,0,108,6,,,,,,
1085,4377,,0,204,7,,,,,,
1086,4377,,0,45,7,,,,,,
1087,4378,70,0,160,6,,,,,,
1088,4378,65,0,171,8(1),,,,,,
1089,4378,64,0,170,8(2),,,,,,
1090,4379,48,0,118,7,,,,,,
1091,4380,68,81,21,3,,,,,,
1092,4380,48,0,0,0,,,,,,
1093,4380,35,0,0,0,,,,,,
1094,4381,63,0,6,5,,,,,,
1095,4381,57,0,0,0,,,,,,
1096,4382,68,0,79,7,,,,,,
1097,4382,62,0,71,8(1),,,,,,
1098,4382,50,0,57,6,,,,,,
1099,4383,70,24,12,3,,,,,,
1100,4383,64,30,21,4,,,,,,
1101,4383,62,4,128,6,,,,,,
1102,4384,60,0,71,8(6),,,,,,
1103,4384,40,0,0,0,,,,,,
1104,4368,60,0,0,0,,,,,,
1105,4317,35,0,0,0,no,,,,,
1106,4220,0,0,0,n.a.,,could not find,,,,
1107,4221,0,0,0,n.a.,,did not find (but found 2 stems in Round 2),,,,
1108,4241,0,0,0,n.a.,,no stems found,,,,
1109,4244,0,0,0,n.a.,,no stems found,,,,
1110,4267,0,0,0,n.a.,,no stems found,,,,
1111,4271,0,0,0,n.a.,,no stems found,,,,
1112,4275,0,0,0,n.a.,,no stems found,,,,
1113,4322,0,0,0,n.a.,,could not find plant,,,,
1114,4335,0,0,0,n.a.,,could not find plant,,,,
1115,4336,0,0,0,n.a.,,could not find plant,,,,
1116,4337,0,0,0,n.a.,,could not find plant,,,,
1117,4338,0,0,0,n.a.,,could not find plant,,,,
1118,4340,0,0,0,n.a.,,could not find plant,,,,
1119,4342,0,0,0,n.a.,,1 dead black stem,,,,
1120,4385,54,51,43,3,,,,,,
1121,4385,25,0,0,0,,,,,,
1122,4385,24,0,0,0,,,,,,
1123,4386,43,390,32,2,,,,,,
1124,4386,34,5,0,1,,,,,,
1125,4386,32,0,0,0,,,,,,
1126,4387,58,0,78,5,,,,,,
1127,4387,38,40,0,1,,,,,,
1128,4387,37,0,0,0,,,,,,
1129,4388,49,72,0,1,,,,,,
1130,4388,47,40,0,1,,,,,,
1131,4388,42,36,0,1,,,,,,
1132,4390,45,36,42,3,,,,,,
1133,4390,42,15,0,1,,,,,,
1134,4390,39,101,,1,,,,,,
1135,4391,40,40,0,1,,,,,,
1136,4391,39,(too small to count),0,1,,,,,,
1137,4391,37,30,0,1,,,,,,
1138,4392,25,40,0,1,,,,,,
1139,4392,10,0,0,0,,,,,,
1140,4393,45,41,19,3,,,,,,
1141,4393,40,0,0,0,,,,,,
1142,4394,22,0,0,0,,,,,,
1143,4394,13,0,0,0,,,,,,
1144,4395,,15,46,5,,,,,,
1145,4395,,54,66,4,,,,,,
1146,4395,,61,0,1,,,,,,
1147,4396,50,142,0,1,,,,,,
1148,4396,49,190,0,1,,,,,,
1149,4396,46,15,0,1,,,,,,
1150,4397,43,11,0,1,,,,,,
1151,4397,40,91,0,1,,,,,,
1152,4398,61,59,4,2,,,,,,
1153,4398,49,50,0,1,,,,,,
1154,4398,40,0,0,0,,,,,,
1155,4399,0,0,0,0,,,,,,
1156,4399,0,0,0,0,,,,,,
1157,4399,0,0,0,0,,,,,,
1158,4400,38,32,0,1,,,,,,
1159,4400,38,0,0,0,,,,,,
1160,4400,18,0,0,0,,,,,,
1161,4401,45,282,0,1,,,,,,
1162,4401,43,83,0,1,,,,,,
1163,4401,40,69,0,1,,,,,,
1164,4402,50,327,0,1,,,,,,
1165,4402,48,25,0,1,,,,,,
1166,4403,41,142,0,1,,,,,,
1167,4403,36,14,0,1,,,,,,
1168,4404,53,0,67,6,,,,,,
1169,4405,36,0,0,0,,,,,,
1170,4405,28,0,0,0,,,,,,
1171,4406,30,95,0,1,,"7/18 revisit: 160 buds, 0 flowers",,,,
1172,4407,43,83,0,1,,"7/18 revisit: 134 buds, 0 flowers",,,,
1173,4407,24,44,0,1,,"7/18 revisit:200 buds, 0 flowers",,,,
1174,4408,42,102,,1,,"7/18 revisit: 109 buds, 16 flowers, bloom status 2, no monarch immatures",,,,
1175,4408,8,0,0,0,,,,,,
1176,4408,6,0,0,0,,,,,,
1177,4409,25,0,0,0,,"7/18 revisit: 20 tiny green buds, no monarch immatures",,,,
1178,4409,5,0,0,0,,,,,,
1179,4410,43,,0,1,,"7/18 revisit: 130 buds, 0 flowers; no monarch immatures",appears stem B was bitten early and now has axillary resprout,,,
1180,4410,28,0,0,0,,,,,,
1181,4410,20,0,0,0,,,,,,
1182,4413,55,109,35,4,,,,,,
1183,4413,53,49,16,3,,,,,,
1184,4413,51,0,97,6,,,,,,
1185,4414,21,0,0,0,,,,,,
1186,4415,27,0,0,0,,,,,,
1187,4416,51,0,0,1,,,,,,
1188,4416,45,0,0,0,,,,,,
1189,4417,50,104,0,1,,,,,,
1190,4417,45,52,0,1,,,,,,
1191,4417,33,0,0,0,,,,,,
1192,4418,22,0,0,0,,,,,,
1193,4419,24,15,0,1,,,,,,
1194,4420,35,108,0,1,yes,,,,,
1195,4421,30,35,0,1,no,,,,,
1196,4421,30,20,0,1,yes,,,,,
1197,4421,25,0,0,0,no,,,,,
1198,4422,26,10,0,1,yes,,,,,
1199,4423,38,120,0,1,no,buds still too small for accurate counting,,,,
1200,4423,36,120,0,1,no,"""",,,,
1201,4423,35,100,0,1,no,"""",,,,
1202,4427,29,100,0,1,no,,,,,
1203,4427,29,120,0,1,no,,,,,
1204,4427,28,100,0,1,no,,,,,
1205,4424,41,102,0,1,,data collected 7/7/2014,,,,
1206,4424,40,138,0,1,,data collected 7/7/2014,,,,
1207,4424,39,104,0,1,,data collected 7/7/2014,,,,
1208,4425,45,122,0,1,,data collected 7/7/2014,,,,
1209,4425,43,0,0,0,,data collected 7/7/2014,,,,
1210,4428,41,100,0,1,unk,lots of frass,,,,
1211,4428,40,100,0,1,unk,,,,,
1212,4428,38,100,0,1,unk,,,,,
1213,4429,26,0,0,0,,,,,,
1214,4429,25,0,0,0,,,,,,
1215,4429,15,0,0,0,,,,,,
1216,4430,42,140,0,1,yes,,,,,
1217,4430,39,65,0,1,yes,,,,,
1218,4430,38,75,0,1,no,,,,,
1219,4431,40,too small to count,0,1,yes,many buds eaten,,,,
1220,4433,17,0,0,0,,,,,,
1221,4433,13,0,0,0,,,,,,
1222,4433,13,0,0,0,,,,,,
1223,4434,35,0,31,5,,,,,,
1224,4434,25,0,0,0,,,,,,
1225,4434,25,0,0,0,,,,,,
1226,4435,36,97,0,1,,,,,,
1227,4435,35,137,0,1,,,,,,
1228,4435,31,102,0,1,,,,,,
1229,4437,23,30,0,1,yes,,,,,
1230,4437,12,0,0,0,yes,,,,,
1231,4437,7,0,0,0,yes,,,,,
1232,4438,65,0,54,5,,,,,,
1233,4438,59,0,0,0,,,,,,
1234,4438,46,0,0,0,,,,,,
1235,4439,70,47,85,4,,,,,,
1236,4439,70,18,83,6,,,,,,
1237,4439,68,53,90,5,,,,,,
1238,4440,59,21,0,1,,,,,,
1239,4440,57,32,0,1,,,,,,
1240,4440,55,15,32,4,,,,,,
1241,4441,70,29,107,4,,,,,,
1242,4441,62,0,45,5,,,,,,
1243,4441,50,0,49,7,,,,,,
1244,4442,72,0,70,6,,,,,,
1245,4442,70,0,80,6,,,,,,
1246,4442,70,0,97,7,,,,,,
1247,4443,71,15,54,4,,,,,,
1248,4443,67,0,94,5,,,,,,
1249,4443,65,16,81,5,,,,,,
1250,4444,78,5,195,5,,,,,,
1251,4444,75,35,271,5,,,,,,
1252,4444,70,25,115,4,,,,,,
1253,4445,67,5,92,5,,,,,,
1254,4445,64,7,57,4,,,,,,
1255,4445,61,40,70,4,,,,,,
1256,4446,70,10,98,5,,,,,,
1257,4446,70,9,92,5,,,,,,
1258,4446,69,1,65,5,,,,,,
1259,4448,70,0,169,8,no,7 pods,,,,
1260,4448,67,0,82,8,no,4 pods,,,,
1261,4448,66,0,84,8,no,3 pods,,,,
1262,4449,62,0,84,7,no,5 pods,,,,
1263,4450,68,0,138,8,no,7 pods,,,,
1264,4450,62,0,157,6,no,,,,,
1265,4450,54,0,0,0,no,,,,,
1266,4451,64,0,97,8,no,2 pods,,,,
1267,4451,63,0,139,7,no,,,,,
1268,4451,61,0,116,8,no,4 pods,,,,
1269,4452,70,0,154,6,no,,,,,
1270,4452,67,0,95,7,no,,,,,
1271,4452,62,0,82,7,no,,,,,
1272,4453,67,0,316,5,no,,,,,
1273,4453,59,80,0,1,yes,,,,,
1274,4453,55,62,0,1,yes,,,,,
1275,4454,72,64,198,5,no,,,,,
1276,4454,72,10,259,5,no,,,,,
1277,4454,72,46,94,4,no,,,,,
1278,4455,72,1,168,,no,,,,,
1279,4455,63,0,100,,no,,,,,
1280,4455,62,0,61,,no,,,,,
1281,4456,49,0,53,6,,,,,,
1282,4456,39,0,0,0,,,,,,
1283,4456,32,0,12,7,,,,,,
1284,4457,63,140,45,3/5,no,second bloom status from 7/19/2014,,,,
1285,4457,60,102,40,3/5,no,second bloom status from 7/19/2014,,,,
1286,4457,56,125,77,4/5,no,second bloom status from 7/19/2014,,,,
1287,4458,23,0,0,0,no,,,,,
1288,4458,5,0,0,0,no,,,,,
1289,4459,62,0,214,7,no,1 pod,,,,
1290,4459,58,0,108,,no,,,,,
1291,4459,49,0,18,,no,,,,,
1292,4460,73,0,112,7,no,,,,,
1293,4460,73,0,142,8,no,1 pod,,,,
1294,4460,73,0,120,8,no,2 pods,,,,
1295,4461,81,133,11,2,no,,,,,
1296,4461,80,64,0,1,no,,,,,
1297,4461,80,68,0,1,no,,,,,
1298,4462,50,0,11,7,no,,,,,
1299,4462,38,0,0,0,no,,,,,
1300,4465,52,28,0,1,no,,,,,
1301,4465,40,0,0,0,no,,,,,
1302,4466,58,0,123,7,no,,,,,
1303,4466,55,10,78,1,no,,,,,
1304,4466,55,0,67,7,no,,,,,
1305,4467,5,0,0,0,no,,,,,
1306,4467,5,0,0,0,no,,,,,
1307,4468,100,0,198,6,no,,,,,
1308,4468,100,40,139,5,no,,,,,
1309,4468,94,0,,5,no,,,,,
1310,4470,63,1,149,5,yes,,,,,
1311,4470,61,0,68,5,no,,,,,
1312,4470,61,0,158,4,yes,,,,,
1313,4472,55,0,138,7,no,,,,,
1314,4472,54,0,103,7,no,,,,,
1315,4474,72,0,173,4,no,,,,,
1316,4474,70,0,160,6,no,,,,,
1317,4474,67,0,158,5,no,,,,,
1318,4475,61,0,122,6,no,,,,,
1319,4479,37,0,0,0,no,,,,,
1320,4479,27,0,0,0,no,,,,,
1321,4479,26,0,0,0,no,,,,,
